N,h,cached,s_kv_gb,tprefill_N_ms,denom_meas_ms,denom_model_ms,bcrit_meas_gbps,bcrit_model_gbps,transport,b_retrieve_gbps,t_restore_ms,net_saved_ms,profitable,measured_saved_ms
8192,0.25,2048,0.134,3750.1,911.1,1036.8,0.1471,0.1293,tcp_zc,1.192,112.4,798.7,1,357.56
8192,0.25,2048,0.134,3750.1,911.1,1036.8,0.1471,0.1293,rdma_zc,20.508,6.5,904.6,1,357.56
8192,0.5,4096,0.2681,3750.1,2236.2,2007.4,0.1199,0.1335,tcp_zc,1.192,224.9,2011.3,1,1396.53
8192,0.5,4096,0.2681,3750.1,2236.2,2007.4,0.1199,0.1335,rdma_zc,20.508,13.1,2223.1,1,1396.53
8192,0.75,6144,0.4021,3750.1,3291.1,2911.8,0.1222,0.1381,tcp_zc,1.192,337.3,2953.8,1,2452.81
8192,0.75,6144,0.4021,3750.1,3291.1,2911.8,0.1222,0.1381,rdma_zc,20.508,19.6,3271.5,1,2452.81
8192,1.0,8128,0.5319,3750.1,3659.4,3750.1,0.1454,0.1418,tcp_zc,1.192,446.3,3213.2,1,3278.28
8192,1.0,8128,0.5319,3750.1,3659.4,3750.1,0.1454,0.1418,rdma_zc,20.508,25.9,3633.5,1,3278.28
16384,0.25,4096,0.2681,8558.7,2540.4,2536.6,0.1055,0.1057,tcp_zc,1.192,224.9,2315.5,1,1422.53
16384,0.25,4096,0.2681,8558.7,2540.4,2536.6,0.1055,0.1057,rdma_zc,20.508,13.1,2527.3,1,1422.53
16384,0.5,8192,0.5361,8558.7,5028.6,4808.6,0.1066,0.1115,tcp_zc,1.192,449.8,4578.8,1,3615.6
16384,0.5,8192,0.5361,8558.7,5028.6,4808.6,0.1066,0.1115,rdma_zc,20.508,26.1,5002.4,1,3615.6
16384,0.75,12288,0.8042,8558.7,7530.1,6816.0,0.1068,0.118,tcp_zc,1.192,674.7,6855.4,1,6288.46
16384,0.75,12288,0.8042,8558.7,7530.1,6816.0,0.1068,0.118,rdma_zc,20.508,39.2,7490.9,1,6288.46
16384,1.0,16320,1.0681,8558.7,8638.4,8558.7,0.1236,0.1248,tcp_zc,1.192,896.0,7742.4,1,8253.2
16384,1.0,16320,1.0681,8558.7,8638.4,8558.7,0.1236,0.1248,rdma_zc,20.508,52.1,8586.3,1,8253.2
24576,0.25,6144,0.4021,14425.8,4375.1,4499.5,0.0919,0.0894,tcp_zc,1.192,337.3,4037.8,1,2549.47
24576,0.25,6144,0.4021,14425.8,4375.1,4499.5,0.0919,0.0894,rdma_zc,20.508,19.6,4355.5,1,2549.47
24576,0.5,12288,0.8042,14425.8,8354.4,8403.7,0.0963,0.0957,tcp_zc,1.192,674.7,7679.7,1,6124.49
24576,0.5,12288,0.8042,14425.8,8354.4,8403.7,0.0963,0.0957,rdma_zc,20.508,39.2,8315.1,1,6124.49
24576,0.75,18432,1.2063,14425.8,11830.3,11712.5,0.102,0.103,tcp_zc,1.192,1012.0,10818.3,1,9848.02
24576,0.75,18432,1.2063,14425.8,11830.3,11712.5,0.102,0.103,rdma_zc,20.508,58.8,11771.5,1,9848.02
24576,1.0,24512,1.6042,14425.8,14409.5,14425.8,0.1113,0.1112,tcp_zc,1.192,1345.8,13063.7,1,14004.68
24576,1.0,24512,1.6042,14425.8,14409.5,14425.8,0.1113,0.1112,rdma_zc,20.508,78.2,14331.3,1,14004.68
