transport,op,size,size_bytes,concurrency,iters,total_bytes,wall_s,bandwidth_gbps,lat_mean_ms,lat_p50_ms,lat_p95_ms,lat_p99_ms,success
rdma,put,64MB,67108864,1,20,1342177280,0.2547,4.907,12.728,12.092,14.24,22.654,1
rdma,get,64MB,67108864,1,20,1342177280,0.8003,1.562,35.514,35.445,36.026,36.766,1
rdma,put,64MB,67108864,2,20,1342177280,0.1329,9.405,12.806,12.779,12.984,16.228,1
rdma,get,64MB,67108864,2,20,1342177280,0.5945,2.103,55.548,54.995,57.729,61.265,1
rdma,put,64MB,67108864,4,20,1342177280,0.09,13.885,16.81,16.059,22.016,24.349,1
rdma,get,64MB,67108864,4,20,1342177280,0.6732,1.857,119.401,123.213,194.759,230.516,1
rdma,put,64MB,67108864,8,20,1342177280,0.078,16.034,26.58,25.703,36.297,40.607,1
rdma,get,64MB,67108864,8,20,1342177280,0.6933,1.803,243.583,227.258,355.241,515.412,1
rdma,put,256MB,268435456,1,20,5368709120,0.9575,5.222,47.868,47.774,48.066,50.26,1
rdma,get,256MB,268435456,1,20,5368709120,3.4146,1.464,151.929,152.023,154.575,154.733,1
rdma,put,256MB,268435456,2,20,5368709120,0.6555,7.628,64.854,55.525,142.204,153.727,1
rdma,get,256MB,268435456,2,20,5368709120,2.9961,1.669,273.096,276.756,300.763,314.669,1
rdma,put,256MB,268435456,4,20,5368709120,0.5117,9.772,97.732,81.539,185.472,198.128,1
rdma,get,256MB,268435456,4,20,5368709120,2.9295,1.707,448.482,429.7,688.954,719.137,1
rdma,put,256MB,268435456,8,20,5368709120,0.3733,13.394,129.937,129.498,168.917,180.765,1
rdma,get,256MB,268435456,8,20,5368709120,2.9399,1.701,787.786,721.769,1424.445,1461.856,1
rdma,put,1GB,1073741824,1,20,21474836480,3.9354,5.082,196.761,196.846,197.357,199.433,1
rdma,get,1GB,1073741824,1,20,21474836480,13.0334,1.535,589.252,590.406,595.992,599.725,1
rdma,put,1GB,1073741824,2,20,21474836480,2.9717,6.73,294.8,239.306,496.735,543.557,1
rdma,get,1GB,1073741824,2,20,21474836480,11.1724,1.79,1040.841,1068.227,1180.398,1184.151,1
rdma,put,1GB,1073741824,4,20,21474836480,2.0099,9.951,386.958,261.293,924.457,978.151,1
rdma,get,1GB,1073741824,4,20,21474836480,10.5258,1.9,1626.061,1642.964,2170.677,2177.04,1
rdma,put,1GB,1073741824,8,20,21474836480,0.603,33.17,129.357,0.088,559.85,601.837,0
rdma,get,1GB,1073741824,8,20,21474836480,2.8063,7.127,664.466,0.234,2708.532,2761.194,0
